Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1625-2R7256-R.jpg","HV1625-2R7256-2-ND","HV1625-2R7256-2","Eaton - Electronics Division","Eaton - Electronics Division","CAPACITOR DOUBLE LAYER TH","0","Active","0","0","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-pm-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PM-5R0H305-R.jpg","PM-5R0H305T-1-ND","PM-5R0H305T-1","Eaton - Electronics Division","Eaton - Electronics Division","CAPACITOR DOUBLE LAYER TH","0","Active","0","0","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","1182-BMOD0058E016C02-ND","BMOD0058 E016 C02","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 58F 16V PLASTIC CASE","0","Active","0","0","Bulk","-","Active","58 F","-","16 V","22mOhm","-","Screw Terminals","Chassis Mount","Module, Screw Terminals","-","8.917"" L x 1.949"" W (226.50mm x 49.50mm)","3.012"" (76.50mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","105DER2R5SFN-ND","105DER2R5SFN","Illinois Capacitor","Illinois Capacitor","CAP 1F -20%, +50% 2.5V T/H","0","0.53841","0","12000","Bulk","DER","Active","1 F","-20%, +50%","2.5 V","500mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.532"" (13.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dc_e.pdf","//media.digikey.com/photos/Elna%20America%20Photos/DC-2R5E204T614-E.JPG","DC-2R5E404T-E-ND","DC-2R5E404T-E","Elna America","Elna America","CAP 400MF -20% +80% 2.5V SMD","0","0.67468","0","1000","Tray","DC","Active","400 mF","-20%, +80%","2.5 V","100Ohm","500 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Thin Terminals - Same Sides","0.079"" (2.00mm)","0.268"" Dia (6.80mm)","0.102"" (2.60mm)","-25°C ~ 70°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","205DER2R5SFQ-ND","205DER2R5SFQ","Illinois Capacitor","Illinois Capacitor","CAP 2F -20% +50% 2.5V T/H","0","0.73174","0","12000","Bulk","DER","Active","2 F","-20%, +50%","2.5 V","350mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.689"" (17.50mm)","-25°C ~ 70°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_Rad_lytic_black.jpg","205DCN2R7S-ND","205DCN2R7S","Illinois Capacitor","Illinois Capacitor","CAPACITOR 2F -20% +50% 2.7V T/H","0","0.7354","0","6000","Bulk","DCN","Active","2 F","-20%, +50%","2.7 V","280mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.689"" (17.50mm)","-40°C ~ 60°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","305DER2R5SFU-ND","305DER2R5SFU","Illinois Capacitor","Illinois Capacitor","CAP 3F -20% +50% 2.5V T/H","0","0.82343","0","6000","Bulk","DER","Active","3 F","-20%, +50%","2.5 V","200mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Illinois%20Cap/305DER2R5SFJG_Spec.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_Rad_lytic_black.jpg","305DER2R5SFJG-ND","305DER2R5SFJG","Illinois Capacitor","Illinois Capacitor","CAP 3F -20% +50% 2.5V T/H","0","0.82343","0","6000","Bulk","DER","Active","3 F","-20%, +50%","2.5 V","160mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.846"" (21.50mm)","-25°C ~ 70°C"
"-","//media.digikey.com/photos/Elna%20America%20Photos/MFG_DSK%20SERIES.jpg","604-DS-2R5E204T614-ETR-ND","DS-2R5E204T614-E","Elna America","Elna America","CAP 200MF -20% +80% 2.5V SMD","0","0.85065","0","1500","Tape & Reel (TR)","DS","Active","200 mF","-20%, +80%","2.5 V","100Ohm @ 1kHz","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.071"" (1.80mm)","-25°C ~ 70°C"
